Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
34395,Turkey,-0.38,-0.30,0.53,-1.12,7,0.08823529411764706
34395,Russia,2.27,-1.35,0.53,0.97,7,0.0
34395,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
34395,Germany,-0.38,1.80,0.53,1.23,7,0
34395,England,-0.38,-0.30,0.53,-1.38,7,0
34290,England,-0.38,-0.30,0.53,-1.38,7,0.23529411764705882
34290,Turkey,-0.38,-0.30,0.53,-1.12,7,0.23529411764705882
34290,Russia,2.27,-1.35,0.53,0.97,7,0.20588235294117646
34290,Italy,-0.38,-0.30,-1.52,-0.34,7,0.08823529411764706
34290,Austria,-0.38,0.75,0.53,0.45,7,0.029411764705882353
34290,France,-0.38,-0.30,-1.52,0.19,7,0
34290,Germany,-0.38,1.80,0.53,1.23,7,0
34245,Russia,2.27,-1.35,0.53,0.97,7,0.5
34245,England,-0.38,-0.30,0.53,-1.38,7,0
34245,Germany,-0.38,1.80,0.53,1.23,7,0
34245,Austria,-0.38,0.75,0.53,0.45,7,0
34245,France,-0.38,-0.30,-1.52,0.19,7,0
34245,Italy,-0.38,-0.30,-1.52,-0.34,7,0
34245,Turkey,-0.38,-0.30,0.53,-1.12,7,0
34236,England,-0.38,-0.30,0.53,-1.38,7,0.23529411764705882
34236,Turkey,-0.38,-0.30,0.53,-1.12,7,0.20588235294117646
34236,Germany,-0.38,1.80,0.53,1.23,7,0.20588235294117646
34236,Russia,2.27,-1.35,0.53,0.97,7,0.14705882352941177
34236,Italy,-0.38,-0.30,-1.52,-0.34,7,0.14705882352941177
34236,France,-0.38,-0.30,-1.52,0.19,7,0.058823529411764705
34236,Austria,-0.38,0.75,0.53,0.45,7,0
34226,Russia,2.27,-1.35,0.53,0.97,7,0.6176470588235294
34226,England,-0.38,-0.30,0.53,-1.38,7,0.20588235294117646
34226,France,-0.38,-0.30,-1.52,0.19,7,0.08823529411764706
34226,Turkey,-0.38,-0.30,0.53,-1.12,7,0.08823529411764706
34226,Italy,-0.38,-0.30,-1.52,-0.34,7,0.0
34226,Germany,-0.38,1.80,0.53,1.23,7,0
34226,Austria,-0.38,0.75,0.53,0.45,7,0
34158,France,-0.38,-0.30,-1.52,0.19,7,0.35294117647058826
34158,Russia,2.27,-1.35,0.53,0.97,7,0.29411764705882354
34158,Turkey,-0.38,-0.30,0.53,-1.12,7,0.29411764705882354
34158,Italy,-0.38,-0.30,-1.52,-0.34,7,0.058823529411764705
34158,Germany,-0.38,1.80,0.53,1.23,7,0.0
